,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
180,DEJU,2,Bw4,60.0,81.0,21.0,,,,,,,,,,,,,,,
181,DEJU,3,Oe,0.0,4.5,4.5,,,,,,,,,,,,,,,
182,DEJU,3,A,4.5,8.5,4.0,,,,,,,,,,,,,,,
183,DEJU,3,Bw1,8.5,26.0,17.5,,,,,,,,,,,,,,,
184,DEJU,3,Bw2,26.0,61.5,35.5,,,,,,,,,,,,,,,
185,DEJU,4,Oe,0.0,3.0,3.0,,,,,,,,,,,,,,,
186,DEJU,4,Bw1,3.0,20.0,17.0,,,,,,,,,,,,,,,
187,DEJU,4,2B,20.0,31.0,11.0,,,,,,,,,,,,,,,
188,DEJU,4,2BC1,31.0,49.0,18.0,,,,,,,,,,,,,,,
189,DEJU,4,2BC2,49.0,64.5,15.5,,,,,,,,,,,,,,,
190,DEJU,5,Oe,0.0,6.5,6.5,,,,,,,,,,,,,,,
191,DEJU,5,Bw1,6.5,17.0,10.5,,,,,,,,,,,,,,,
192,DEJU,5,Bw2,17.0,37.0,20.0,,,,,,,,,,,,,,,
193,DEJU,5,2BC,37.0,53.0,16.0,,,,,,,,,,,,,,,
194,DELA,1,A,0.0,18.0,18.0,,,,,,,,,,,,,,,
195,DELA,1,A/B,18.0,40.0,22.0,,,,,,,,,,,,,,,
196,DELA,1,Btg1,40.0,72.0,32.0,,,,,,,,,,,,,,,
197,DELA,1,Btg2,72.0,96.0,24.0,,,,,,,,,,,,,,,
198,DELA,1,Btg3,96.0,195.0,99.0,,,,,,,,,,,,,,,
199,DELA,2,A,0.0,18.0,18.0,,,,,,,,,,,,,,,
200,DELA,2,A/B,18.0,38.0,20.0,,,,,,,,,,,,,,,
201,DELA,2,Btg1,38.0,75.0,37.0,,,,,,,,,,,,,,,
202,DELA,2,Btg2,75.0,124.0,49.0,,,,,,,,,,,,,,,
203,DELA,2,Btg3,124.0,210.0,86.0,,,,,,,,,,,,,,,
204,DELA,3,A,0.0,20.0,20.0,,,,,,,,,,,,,,,
205,DELA,3,AB,20.0,48.0,28.0,,,,,,,,,,,,,,,
206,DELA,3,Btg1,48.0,84.0,36.0,,,,,,,,,,,,,,,
207,DELA,3,Btg2,84.0,104.0,20.0,,,,,,,,,,,,,,,
208,DELA,3,Btg3,104.0,195.0,91.0,,,,,,,,,,,,,,,
209,DELA,4,A,0.0,19.0,19.0,,,,,,,,,,,,,,,
210,DELA,4,A/B,19.0,35.0,16.0,,,,,,,,,,,,,,,
211,DELA,4,Btg1,35.0,76.0,41.0,,,,,,,,,,,,,,,
212,DELA,4,Btg2,76.0,101.0,25.0,,,,,,,,,,,,,,,
213,DELA,4,Btg3,101.0,146.0,45.0,,,,,,,,,,,,,,,
214,DELA,4,Btg4,146.0,192.0,46.0,,,,,,,,,,,,,,,
215,DELA,4,Btg5,192.0,214.0,22.0,,,,,,,,,,,,,,,
216,DELA,5,A,0.0,16.0,16.0,,,,,,,,,,,,,,,
217,DELA,5,A/B,16.0,64.0,48.0,,,,,,,,,,,,,,,
218,DELA,5,Btg1,64.0,103.0,39.0,,,,,,,,,,,,,,,
219,DELA,5,Btg2,103.0,175.0,72.0,,,,,,,,,,,,,,,
220,DSNY,1,A,0.0,16.5,16.5,,,,,,,,,,,,,,,
221,DSNY,1,E,16.5,26.0,9.5,,,,,,,,,,,,,,,
