"","siteID","HOR.VER","name","description","start","end","referenceName","referenceDescription","referenceStart","referenceEnd","xOffset","yOffset","zOffset","pitch","roll","azimuth","referenceLatitude","referenceLongitude","referenceElevation","publicationDate"
"48","HEAL","003.506","CFGLOC102290","Healy Soil Temp Profile SP3, Z6 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.23,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"49","HEAL","003.507","CFGLOC102292","Healy Soil Temp Profile SP3, Z7 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.66,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"50","HEAL","003.507","CFGLOC102292","Healy Soil Temp Profile SP3, Z7 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.43,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"51","HEAL","003.508","CFGLOC102294","Healy Soil Temp Profile SP3, Z8 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.96,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"52","HEAL","003.508","CFGLOC102294","Healy Soil Temp Profile SP3, Z8 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.73,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"53","HEAL","003.509","CFGLOC102296","Healy Soil Temp Profile SP3, Z9 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-1.26,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"54","HEAL","003.509","CFGLOC102296","Healy Soil Temp Profile SP3, Z9 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-1.03,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"55","HEAL","004.501","CFGLOC102308","Healy Soil Temp Profile SP4, Z1 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.02,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"56","HEAL","004.501","CFGLOC102308","Healy Soil Temp Profile SP4, Z1 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,0.28,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"57","HEAL","004.502","CFGLOC102310","Healy Soil Temp Profile SP4, Z2 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.06,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"58","HEAL","004.502","CFGLOC102310","Healy Soil Temp Profile SP4, Z2 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,0.24,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"59","HEAL","004.503","CFGLOC102312","Healy Soil Temp Profile SP4, Z3 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.16,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"60","HEAL","004.503","CFGLOC102312","Healy Soil Temp Profile SP4, Z3 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,0.14,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"61","HEAL","004.504","CFGLOC102314","Healy Soil Temp Profile SP4, Z4 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.26,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"62","HEAL","004.504","CFGLOC102314","Healy Soil Temp Profile SP4, Z4 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,0.04,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"63","HEAL","004.505","CFGLOC102316","Healy Soil Temp Profile SP4, Z5 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.36,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"64","HEAL","004.505","CFGLOC102316","Healy Soil Temp Profile SP4, Z5 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.06,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"65","HEAL","004.506","CFGLOC102318","Healy Soil Temp Profile SP4, Z6 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.46,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"66","HEAL","004.506","CFGLOC102318","Healy Soil Temp Profile SP4, Z6 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.16,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"67","HEAL","004.507","CFGLOC102320","Healy Soil Temp Profile SP4, Z7 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.66,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"68","HEAL","004.507","CFGLOC102320","Healy Soil Temp Profile SP4, Z7 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.36,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"69","HEAL","004.508","CFGLOC102322","Healy Soil Temp Profile SP4, Z8 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.96,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
"70","HEAL","004.508","CFGLOC102322","Healy Soil Temp Profile SP4, Z8 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102299","Healy Soil Plot, SP4","2010-01-01T00:00:00Z",NA,3.09,0.07,-0.66,1.2,0,160,63.874692,-149.215581,683.8,"20200819T214703Z"
